Stock Code,Code name,Current time,Price,Full Date
Stock Code,Code name,Current_time,Price,Full Date
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:21,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:21,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:26,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:21,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:26,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:32,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:21,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:26,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:32,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:38,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:21,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:26,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:32,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:38,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:44,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:21,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:26,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:32,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:38,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:44,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:50,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:06,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:11,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:17,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:23,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:28,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:34,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:40,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:45,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:51,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:52:58,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:03,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:09,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:15,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:21,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:26,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:32,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:38,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:44,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:50,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:53:55,159.85,2021-07-18
Stock Code,Code name,Current_time,Price,Full Date
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:18,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:18,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:24,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:18,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:24,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:29,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:18,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:24,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:29,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:35,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:18,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:24,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:29,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:35,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:41,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:18,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:24,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:29,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:35,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:41,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:46,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:36,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:43,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:49,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:58:55,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:00,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:07,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:12,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:18,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:24,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:29,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:35,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:41,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:46,159.85,2021-07-18
NKE,"NIKE, Inc. (NKE)",14:59:52,159.85,2021-07-18
